Player,Team,Injury,Status,Est. Return
Dane Acker,TEX,Undisclosed,7-Day IL,Subscribers Only
Jake Agnos,NYY,Undisclosed,60-Day IL,Subscribers Only
Jorge Alcala,MIN,Forearm,15-Day IL,Subscribers Only
Jason Alexander,MIL,Shoulder,60-Day IL,Subscribers Only
Matt Allan,NYM,Elbow,60-Day IL,Subscribers Only
Kolby Allard,ATL,Oblique,60-Day IL,Subscribers Only
Elvis Alvarado,DET,Elbow,7-Day IL,Subscribers Only
Jose Alvarado,PHI,Elbow,15-Day IL,Subscribers Only
Jose Alvarez,DET,Elbow,60-Day IL,Subscribers Only
Ian Anderson,ATL,Elbow,7-Day IL,Subscribers Only
Tejay Antone,CIN,Elbow,60-Day IL,Subscribers Only
Victor Arano,WAS,Shoulder,60-Day IL,Subscribers Only
Shawn Armstrong,TB,Neck,60-Day IL,Subscribers Only
Aaron Ashby,MIL,Shoulder,60-Day IL,Subscribers Only
Hunter Barco,PIT,Elbow,60-Day IL,Subscribers Only
Luke Barker,FA,Elbow,Out,Subscribers Only
Peyton Battenfield,CLE,Shoulder,15-Day IL,Subscribers Only
Carter Baumler,BAL,Shoulder,60-Day IL,Subscribers Only
Shane Baz,TB,Elbow,60-Day IL,Subscribers Only
Octavio Becerra,LAD,Undisclosed,60-Day IL,Subscribers Only
Brendan Beck,NYY,Elbow,60-Day IL,Subscribers Only
Will Bednar,SF,Back,7-Day IL,Subscribers Only
Anthony Bender,MIA,Elbow,60-Day IL,Subscribers Only
Jonatan Bernal,KC,Undisclosed,60-Day IL,Subscribers Only
Paul Blackburn,OAK,Finger,15-Day IL,Subscribers Only
Richard Bleier,BOS,Shoulder,15-Day IL,Subscribers Only
Bryce Bonnin,CIN,Undisclosed,60-Day IL,Subscribers Only
Brad Boxberger,CHC,Forearm,15-Day IL,Subscribers Only
Jake Brentz,KC,Elbow,60-Day IL,Subscribers Only
Will Brian,NYY,Undisclosed,7-Day IL,Subscribers Only
Beau Brieske,DET,Elbow,60-Day IL,Subscribers Only
Kyle Brnovich,BAL,Elbow,60-Day IL,Subscribers Only
McCade Brown,COL,Undisclosed,Out,Subscribers Only
JT Brubaker,PIT,Elbow,60-Day IL,Subscribers Only
Zach Brzykcy,WAS,Forearm,60-Day IL,Subscribers Only
Kris Bubic,KC,Elbow,60-Day IL,Subscribers Only
Walker Buehler,LAD,Elbow,60-Day IL,Subscribers Only
J.B. Bukauskas,MIL,Neck,15-Day IL,Subscribers Only
Blake Burkhalter,ATL,Elbow,Out,Subscribers Only
Mike Burrows,PIT,Elbow,7-Day IL,Subscribers Only
Matt Bush,MIL,Shoulder,15-Day IL,Subscribers Only
Ky Bush,LAA,Oblique,7-Day IL,Subscribers Only
Ty Buttrey,HOU,Finger,Out,Subscribers Only
Paul Campbell,MIA,Elbow,60-Day IL,Subscribers Only
Justin Campbell,CLE,Elbow,Out,Subscribers Only
Matt Canterino,MIN,Elbow,60-Day IL,Subscribers Only
Ross Carver,CLE,Oblique,7-Day IL,Subscribers Only
Daniel Castano,MIA,Undisclosed,7-Day IL,Subscribers Only
Humberto Castellanos,ARI,Elbow,Out,Subscribers Only
Kervin Castro,DET,Undisclosed,7-Day IL,Subscribers Only
Cade Cavalli,WAS,Elbow,60-Day IL,Subscribers Only
Blake Cederlind,PIT,Elbow,7-Day IL,Subscribers Only
Tyler Chatwood,PIT,Undisclosed,7-Day IL,Subscribers Only
Hyun-il Choi,LAD,Forearm,Out,Subscribers Only
Aaron Civale,CLE,Oblique,15-Day IL,Subscribers Only
Garrett Cleavinger,TB,Knee,60-Day IL,Subscribers Only
Mike Clevinger,CWS,Wrist,15-Day IL,Subscribers Only
Carson Coleman,NYY,Elbow,60-Day IL,Subscribers Only
Edwar Colina,TEX,Elbow,7-Day IL,Subscribers Only
Sam Coonrod,NYM,Lat,60-Day IL,Subscribers Only
Seth Corry,SF,Shoulder,7-Day IL,Subscribers Only
Harold Cortijo,NYY,Undisclosed,7-Day IL,Subscribers Only
Ryan Costeiu,LAA,Elbow,60-Day IL,Subscribers Only
Nabil Crismatt,SD,Hip,15-Day IL,Subscribers Only
Matt Cronin,WAS,Undisclosed,7-Day IL,Subscribers Only
Coleman Crow,LAA,Undisclosed,7-Day IL,Subscribers Only
Wil Crowe,PIT,Shoulder,60-Day IL,Subscribers Only
